,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
122,CQISBG6BZX_3-12_SIP3,0.00000,0,0.00000,0,25717,28.57460,0,0.00000,35713.33333,32142000,0,1219073,1354.52587,0,0.00000,1246131.11111,1121518000,0.00000,20210426003000
123,CQISBG7BZX_3-5_SIP2,0.00000,0,0.00000,0,644036,715.59551,0,0.00000,888881.11111,799993000,0,2063516,2292.79524,0,0.00000,2043935.55556,1839542000,0.00000,20210426003000
124,CQISBG7BZX_3-6_SIP2,0.00000,0,0.00000,0,563,0.62507,0,0.00000,10001.11111,9001000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
125,CQISBG6BZX_3-13_SIP4,0.00000,0,0.00000,0,58,0.06403,0,0.00000,1024.44444,922000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
126,CQISBG5BZX_3-10_SIP1,0.00000,0,0.00000,0,2532004,2813.33739,0,0.00000,3293450.00000,2964105000,0,2831542,3146.15751,0,0.00000,2894451.11111,2605006000,0.00000,20210426003000
127,CQISBG6BZX_3-11_SIP4,0.00000,0,0.00000,0,1573646,1748.49525,0,0.00000,1657195.55556,1491476000,0,1838031,2042.25630,0,0.00000,2447758.88889,2202983000,0.00000,20210426003000
128,CQISBG7BZX_3-13_SIP4,0.00000,0,0.00000,0,563,0.62500,0,0.00000,10000.00000,9000000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
129,CQISBG9BZX_3-10_SIP1,0.00000,0,0.00000,0,634,0.70465,0,0.00000,11274.44444,10147000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426003000
130,CQISBG7BZX_3-11_SIP4,0.00000,0,0.00000,0,1765588,1961.76415,0,0.00000,1847396.66667,1662657000,0,1929372,2143.74710,0,0.00000,2522696.66667,2270427000,0.00000,20210426003000
131,CQISBG8BZX_4-10_DRA,0.00000,0,0.00000,0,526426,584.91805,0,0.00000,1645002.22222,1480502000,0,651149,723.49852,0,0.00000,1335922.22222,1202330000,0.00000,20210426003000
